full_name,entity_name,rustmath_location,implementation_type,reasoning
sage.calculus.integration.compiled_integrand,compiled_integrand,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.integration.monte_carlo_integral,monte_carlo_integral,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.integration.numerical_integral,numerical_integral,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.categories.functor,functor,rustmath-category,STUB,Minimal implementation in rustmath-category
sage.categories.functor.ForgetfulFunctor,ForgetfulFunctor,rustmath-category,STUB,Minimal implementation in rustmath-category
sage.categories.functor.ForgetfulFunctor_generic,ForgetfulFunctor_generic,rustmath-category,STUB,Minimal implementation in rustmath-category
sage.categories.functor.Functor,Functor,rustmath-category,STUB,Minimal implementation in rustmath-category
sage.categories.functor.IdentityFunctor,IdentityFunctor,rustmath-category,STUB,Minimal implementation in rustmath-category
sage.categories.functor.IdentityFunctor_generic,IdentityFunctor_generic,rustmath-category,STUB,Minimal implementation in rustmath-category
sage.categories.functor.is_Functor,is_Functor,rustmath-category,STUB,Minimal implementation in rustmath-category
sage.categories.morphism,morphism,rustmath-category,STUB,Minimal implementation in rustmath-category
sage.categories.morphism.CallMorphism,CallMorphism,rustmath-category,STUB,Minimal implementation in rustmath-category
sage.categories.morphism.FormalCoercionMorphism,FormalCoercionMorphism,rustmath-category,STUB,Minimal implementation in rustmath-category
sage.categories.morphism.IdentityMorphism,IdentityMorphism,rustmath-category,STUB,Minimal implementation in rustmath-category
sage.categories.morphism.Morphism,Morphism,rustmath-category,STUB,Minimal implementation in rustmath-category
sage.categories.morphism.SetIsomorphism,SetIsomorphism,rustmath-category,STUB,Minimal implementation in rustmath-category
sage.categories.morphism.SetMorphism,SetMorphism,rustmath-category,STUB,Minimal implementation in rustmath-category
sage.categories.morphism.is_Morphism,is_Morphism,rustmath-category,STUB,Minimal implementation in rustmath-category
sage.coding,coding,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.abstract_code,abstract_code,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.abstract_code.AbstractCode,AbstractCode,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.ag_code,ag_code,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.ag_code.AGCode,AGCode,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.ag_code.CartierCode,CartierCode,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.ag_code.DifferentialAGCode,DifferentialAGCode,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.ag_code.EvaluationAGCode,EvaluationAGCode,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.ag_code_decoders,ag_code_decoders,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.ag_code_decoders.Decoder_K,Decoder_K,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.ag_code_decoders.Decoder_K_extension,Decoder_K_extension,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.ag_code_decoders.DifferentialAGCodeDecoder_K,DifferentialAGCodeDecoder_K,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.ag_code_decoders.DifferentialAGCodeDecoder_K_extension,DifferentialAGCodeDecoder_K_extension,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.ag_code_decoders.DifferentialAGCodeEncoder,DifferentialAGCodeEncoder,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.ag_code_decoders.DifferentialAGCodeUniqueDecoder,DifferentialAGCodeUniqueDecoder,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.ag_code_decoders.EvaluationAGCodeDecoder_K,EvaluationAGCodeDecoder_K,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.ag_code_decoders.EvaluationAGCodeDecoder_K_extension,EvaluationAGCodeDecoder_K_extension,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.ag_code_decoders.EvaluationAGCodeEncoder,EvaluationAGCodeEncoder,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.ag_code_decoders.EvaluationAGCodeUniqueDecoder,EvaluationAGCodeUniqueDecoder,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.ag_code_decoders.info,info,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.bch_code,bch_code,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.bch_code.BCHCode,BCHCode,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.bch_code.BCHUnderlyingGRSDecoder,BCHUnderlyingGRSDecoder,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.binary_code,binary_code,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.binary_code.BinaryCode,BinaryCode,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.binary_code.BinaryCodeClassifier,BinaryCodeClassifier,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.binary_code.OrbitPartition,OrbitPartition,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.binary_code.PartitionStack,PartitionStack,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.binary_code.test_expand_to_ortho_basis,test_expand_to_ortho_basis,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.binary_code.test_word_perms,test_word_perms,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.binary_code.weight_dist,weight_dist,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.bounds_catalog,bounds_catalog,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.channel,channel,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.channel.Channel,Channel,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.channel.ErrorErasureChannel,ErrorErasureChannel,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.channel.QarySymmetricChannel,QarySymmetricChannel,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.channel.StaticErrorRateChannel,StaticErrorRateChannel,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.channel.format_interval,format_interval,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.channel.random_error_vector,random_error_vector,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.channels_catalog,channels_catalog,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.code_bounds,code_bounds,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.code_bounds.codesize_upper_bound,codesize_upper_bound,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.dimension_upper_bound,dimension_upper_bound,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.elias_bound_asymp,elias_bound_asymp,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.elias_upper_bound,elias_upper_bound,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.entropy,entropy,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.entropy_inverse,entropy_inverse,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.gilbert_lower_bound,gilbert_lower_bound,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.griesmer_upper_bound,griesmer_upper_bound,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.gv_bound_asymp,gv_bound_asymp,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.gv_info_rate,gv_info_rate,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.hamming_bound_asymp,hamming_bound_asymp,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.hamming_upper_bound,hamming_upper_bound,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.mrrw1_bound_asymp,mrrw1_bound_asymp,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.plotkin_bound_asymp,plotkin_bound_asymp,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.plotkin_upper_bound,plotkin_upper_bound,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.singleton_bound_asymp,singleton_bound_asymp,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.singleton_upper_bound,singleton_upper_bound,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_bounds.volume_hamming,volume_hamming,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_constructions,code_constructions,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.code_constructions.DuadicCodeEvenPair,DuadicCodeEvenPair,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_constructions.DuadicCodeOddPair,DuadicCodeOddPair,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_constructions.ExtendedQuadraticResidueCode,ExtendedQuadraticResidueCode,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_constructions.QuadraticResidueCode,QuadraticResidueCode,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_constructions.QuadraticResidueCodeEvenPair,QuadraticResidueCodeEvenPair,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_constructions.QuadraticResidueCodeOddPair,QuadraticResidueCodeOddPair,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_constructions.ToricCode,ToricCode,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_constructions.WalshCode,WalshCode,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_constructions.from_parity_check_matrix,from_parity_check_matrix,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_constructions.permutation_action,permutation_action,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_constructions.random_linear_code,random_linear_code,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.code_constructions.walsh_matrix,walsh_matrix,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.codecan.autgroup_can_label,autgroup_can_label,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.codecan.autgroup_can_label.LinearCodeAutGroupCanLabel,LinearCodeAutGroupCanLabel,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.codecan.codecan,codecan,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.codecan.codecan.InnerGroup,InnerGroup,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.codecan.codecan.PartitionRefinementLinearCode,PartitionRefinementLinearCode,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.codes_catalog,codes_catalog,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.cyclic_code,cyclic_code,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.cyclic_code.CyclicCode,CyclicCode,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.cyclic_code.CyclicCodePolynomialEncoder,CyclicCodePolynomialEncoder,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.cyclic_code.CyclicCodeSurroundingBCHDecoder,CyclicCodeSurroundingBCHDecoder,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.cyclic_code.CyclicCodeVectorEncoder,CyclicCodeVectorEncoder,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.cyclic_code.bch_bound,bch_bound,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.cyclic_code.find_generator_polynomial,find_generator_polynomial,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.databases,databases,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.databases.best_linear_code_in_codetables_dot_de,best_linear_code_in_codetables_dot_de,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.databases.best_linear_code_in_guava,best_linear_code_in_guava,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.databases.bounds_on_minimum_distance_in_guava,bounds_on_minimum_distance_in_guava,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.databases.self_orthogonal_binary_codes,self_orthogonal_binary_codes,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.decoder,decoder,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.decoder.Decoder,Decoder,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.decoders_catalog,decoders_catalog,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.delsarte_bounds,delsarte_bounds,rustmath-coding,FULL,Module structure in rustmath-coding
sage.coding.delsarte_bounds.delsarte_bound_Q_matrix,delsarte_bound_Q_matrix,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.delsarte_bounds.delsarte_bound_additive_hamming_space,delsarte_bound_additive_hamming_space,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.delsarte_bounds.delsarte_bound_constant_weight_code,delsarte_bound_constant_weight_code,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.delsarte_bounds.delsarte_bound_hamming_space,delsarte_bound_hamming_space,rustmath-coding,FULL,Implemented in rustmath-coding
sage.coding.delsarte_bounds.eberlein,eberlein,rustmath-coding,FULL,Implemented in rustmath-coding
